date,event,룬_콤보킬,몬스터파크,몬컬_세트,미라클_타임,샤이닝_스타포스,소울_확률,솔에르다_2배,솔에르다_타임,스타포스_1+1,스타포스_30%할인,스타포스_5_10_15,스타포스_파괴감소,어빌리티_반값,주문의_흔적_반값,트레져_헌터,헥사_스텟,현상금_사냥꾼
2020.06.28,<AWAKE>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.07.05,<AWAKE>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.07.12,<AWAKE>,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2020.07.19,<AWAKE>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020.07.26,<AWAKE>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.08.02,<AWAKE>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020.08.09,<AWAKE>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.08.16,<AWAKE>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020.08.23,<AWAKE>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020.08.30,<AWAKE>,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2020.09.06,(슈피겔만의 행운 상자),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.09.13,(슈피겔만의 행운 상자),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.09.20,<엘리넬 풀 문 파티>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020.09.27,<엘리넬 풀 문 파티>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.10.04,<엘리넬 풀 문 파티>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.10.11,<엘리넬 풀 문 파티>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.10.18,<엘리넬 풀 문 파티>,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
2020.10.25,(헌티드 하우스),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
